Mfr Name,Carline,Eng Displ,# Cyl,Transmission,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Air Aspiration Method Desc,Trans Desc,# Gears,Drive Desc,Annual Fuel Cost - Conventional Fuel,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Carline Class Desc,Release Date,Stop/Start System (Engine Management System)  Description,City CO2 Rounded Adjusted,Hwy CO2 Rounded Adjusted
Volkswagen Group of,Continental GT Convertible Speed,6,12,Auto(AM-S8),12,18,Turbocharged,Automated Manual- Selectable,8,All Wheel Drive,3900,2,2,Minicompact Cars,9/16/22,Yes,761,483
Ferrari,Portofino M,3.9,8,Auto(AM8),16,23,Turbocharged,Automated Manual,8,"2-Wheel Drive, Rear",2900,2,2,Minicompact Cars,7/1/22,Yes,539,386
Toyota,LC 500 CONVERTIBLE,5,8,Auto(S10),15,25,Naturally Aspirated,Semi-Automatic,10,"2-Wheel Drive, Rear",3050,2,2,Minicompact Cars,10/19/22,No,598,356
BMW,COOPER CONVERTIBLE,1.5,3,Auto(AM-S7),29,38,Turbocharged,Automated Manual- Selectable,7,"2-Wheel Drive, Front",1700,2,2,Minicompact Cars,4/1/22,Yes,307,232
BMW,COOPER CONVERTIBLE,1.5,3,Manual(M6),27,37,Turbocharged,Manual,6,"2-Wheel Drive, Front",1750,2,2,Minicompact Cars,4/1/22,Yes,323,236
BMW,COOPER S CONVERTIBLE,2,4,Auto(AM-S7),27,36,Turbocharged,Automated Manual- Selectable,7,"2-Wheel Drive, Front",1800,2,2,Minicompact Cars,4/4/22,No,332,246
BMW,COOPER S CONVERTIBLE,2,4,Manual(M6),23,33,Turbocharged,Manual,6,"2-Wheel Drive, Front",2050,2,2,Minicompact Cars,4/4/22,No,380,268
BMW,JOHN COOPER WORKS CONVERTIBLE,2,4,Auto(S8),24,33,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Front",2050,2,2,Minicompact Cars,4/5/22,Yes,363,271
Porsche,911 Carrera,3,6,Auto(AM-S8),18,24,Turbocharged,Automated Manual- Selectable,8,"2-Wheel Drive, Rear",2750,2,2,Minicompact Cars,11/4/22,Yes,492,369
Porsche,911 Carrera 4,3,6,Auto(AM-S8),18,24,Turbocharged,Automated Manual- Selectable,8,All Wheel Drive,2750,2,2,Minicompact Cars,11/4/22,Yes,491,368
Porsche,911 Carrera 4 Cabriolet,3,6,Auto(AM-S8),18,24,Turbocharged,Automated Manual- Selectable,8,All Wheel Drive,2750,2,2,Minicompact Cars,11/4/22,Yes,492,366
Porsche,911 Carrera 4 GTS,3,6,Auto(AM-S8),17,23,Turbocharged,Automated Manual- Selectable,8,All Wheel Drive,2900,2,2,Minicompact Cars,11/4/22,Yes,519,377
Porsche,911 Carrera 4 GTS,3,6,Manual(M7),17,23,Turbocharged,Manual,7,All Wheel Drive,2900,2,2,Minicompact Cars,11/4/22,Yes,520,385
Porsche,911 Carrera 4 GTS Cabriolet,3,6,Auto(AM-S8),17,22,Turbocharged,Automated Manual- Selectable,8,All Wheel Drive,2900,2,2,Minicompact Cars,11/4/22,Yes,512,402
Porsche,911 Carrera 4 GTS Cabriolet,3,6,Manual(M7),16,23,Turbocharged,Manual,7,All Wheel Drive,2900,2,2,Minicompact Cars,11/4/22,Yes,552,385
Porsche,911 Carrera 4S,3,6,Auto(AM-S8),18,23,Turbocharged,Automated Manual- Selectable,8,All Wheel Drive,2750,2,2,Minicompact Cars,11/4/22,Yes,490,385
Porsche,911 Carrera 4S,3,6,Manual(M7),17,25,Turbocharged,Manual,7,All Wheel Drive,2750,2,2,Minicompact Cars,11/4/22,Yes,519,349
Porsche,911 Carrera 4S Cabriolet,3,6,Auto(AM-S8),18,23,Turbocharged,Automated Manual- Selectable,8,All Wheel Drive,2750,2,2,Minicompact Cars,11/4/22,Yes,484,385
Porsche,911 Carrera 4S Cabriolet,3,6,Manual(M7),17,24,Turbocharged,Manual,7,All Wheel Drive,2750,2,2,Minicompact Cars,11/4/22,Yes,520,368
Porsche,911 Carrera Cabriolet,3,6,Auto(AM-S8),18,24,Turbocharged,Automated Manual- Selectable,8,"2-Wheel Drive, Rear",2750,2,2,Minicompact Cars,11/4/22,Yes,492,369
Porsche,911 Carrera GTS,3,6,Auto(AM-S8),17,23,Turbocharged,Automated Manual- Selectable,8,"2-Wheel Drive, Rear",2900,2,2,Minicompact Cars,11/4/22,Yes,519,377
Porsche,911 Carrera GTS,3,6,Manual(M7),17,24,Turbocharged,Manual,7,"2-Wheel Drive, Rear",2750,2,2,Minicompact Cars,11/4/22,Yes,507,367
Porsche,911 Carrera GTS Cabriolet,3,6,Auto(AM-S8),17,23,Turbocharged,Automated Manual- Selectable,8,"2-Wheel Drive, Rear",2900,2,2,Minicompact Cars,11/4/22,Yes,520,384
Porsche,911 Carrera GTS Cabriolet,3,6,Manual(M7),17,24,Turbocharged,Manual,7,"2-Wheel Drive, Rear",2750,2,2,Minicompact Cars,11/4/22,Yes,520,361
Porsche,911 Carrera S,3,6,Auto(AM-S8),18,23,Turbocharged,Automated Manual- Selectable,8,"2-Wheel Drive, Rear",2750,2,2,Minicompact Cars,11/4/22,Yes,486,385
Porsche,911 Carrera S,3,6,Manual(M7),18,25,Turbocharged,Manual,7,"2-Wheel Drive, Rear",2600,2,2,Minicompact Cars,11/4/22,Yes,483,354
Porsche,911 Carrera S Cabriolet,3,6,Auto(AM-S8),18,23,Turbocharged,Automated Manual- Selectable,8,"2-Wheel Drive, Rear",2750,2,2,Minicompact Cars,11/4/22,Yes,484,385
Porsche,911 Carrera S Cabriolet,3,6,Manual(M7),17,25,Turbocharged,Manual,7,"2-Wheel Drive, Rear",2750,2,2,Minicompact Cars,11/4/22,Yes,521,354
Porsche,911 Sport Classic,3.7,6,Manual(M7),15,21,Turbocharged,Manual,7,"2-Wheel Drive, Rear",3200,2,2,Minicompact Cars,11/7/22,Yes,600,415
Porsche,911 Targa 4,3,6,Auto(AM-S8),18,24,Turbocharged,Automated Manual- Selectable,8,All Wheel Drive,2750,2,2,Minicompact Cars,11/4/22,Yes,491,368
Porsche,911 Targa 4 GTS,3,6,Auto(AM-S8),17,22,Turbocharged,Automated Manual- Selectable,8,All Wheel Drive,2900,2,2,Minicompact Cars,11/4/22,Yes,510,401
Porsche,911 Targa 4 GTS,3,6,Manual(M7),16,23,Turbocharged,Manual,7,All Wheel Drive,2900,2,2,Minicompact Cars,11/4/22,Yes,552,385
Porsche,911 Targa 4S,3,6,Auto(AM-S8),18,23,Turbocharged,Automated Manual- Selectable,8,All Wheel Drive,2750,2,2,Minicompact Cars,11/4/22,Yes,490,384
Porsche,911 Targa 4S,3,6,Manual(M7),17,24,Turbocharged,Manual,7,All Wheel Drive,2750,2,2,Minicompact Cars,11/4/22,Yes,512,368
Porsche,911 Turbo,3.7,6,Auto(AM-S8),15,20,Turbocharged,Automated Manual- Selectable,8,All Wheel Drive,3200,2,2,Minicompact Cars,11/7/22,Yes,573,447
Porsche,911 Turbo Cabriolet,3.7,6,Auto(AM-S8),15,20,Turbocharged,Automated Manual- Selectable,8,All Wheel Drive,3200,2,2,Minicompact Cars,11/7/22,Yes,586,442
Porsche,911 Turbo S,3.7,6,Auto(AM-S8),15,20,Turbocharged,Automated Manual- Selectable,8,All Wheel Drive,3200,2,2,Minicompact Cars,11/7/22,Yes,577,443
Porsche,911 Turbo S Cabriolet,3.7,6,Auto(AM-S8),15,20,Turbocharged,Automated Manual- Selectable,8,All Wheel Drive,3200,2,2,Minicompact Cars,11/7/22,Yes,600,441
Subaru,BRZ,2.4,4,Auto(S6),21,30,Naturally Aspirated,Semi-Automatic,6,"2-Wheel Drive, Rear",2200,2,2,Minicompact Cars,4/19/22,No,419,292
Subaru,BRZ,2.4,4,Manual(M6),20,27,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",2500,2,2,Minicompact Cars,4/19/22,No,452,331
Toyota,GR86,2.4,4,Auto(S6),21,31,Naturally Aspirated,Semi-Automatic,6,"2-Wheel Drive, Rear",2200,2,2,Minicompact Cars,6/22/22,No,417,290
Toyota,GR86,2.4,4,Manual(M6),20,27,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",2500,2,2,Minicompact Cars,6/22/22,No,451,330
Volkswagen Group of,A3,2,4,Auto(AM-S7),28,38,Turbocharged,Automated Manual- Selectable,7,"2-Wheel Drive, Front",1400,2,2,Subcompact Cars,6/8/22,Yes,310,234
Volkswagen Group of,A3 quattro,2,4,Auto(AM-S7),27,35,Turbocharged,Automated Manual- Selectable,7,All Wheel Drive,1500,2,2,Subcompact Cars,6/8/22,Yes,328,253
Volkswagen Group of,A5 Cabriolet quattro,2,4,Auto(AM-S7),24,31,Turbocharged,Automated Manual- Selectable,7,All Wheel Drive,2100,2,2,Subcompact Cars,7/29/22,Yes,373,287
